DeptName, gsize, den, dia, max_indeg, max_outdeg, avg_indeg, avg_outdeg, edge_conn, gcc, lcc, avg_gpa
     ICT55,  54,  0.05,  7.00,  14,7,  2.00,  2.00,  0.00,  0.31,  0.42
    Nited56, 103,  0.02, 10.00,  10,10,  1.00,  1.00,  0.00,  0.34,  0.36
     Niti55,  60,  0.03, 10.00,   9,12,  1.00,  1.00,  0.00,  0.15,  0.20
    ICT57-V,  19,  0.22,  7.00,  11,10,  3.00,  3.00,  0.00,  0.56,  0.57
      ICT56,  34,  0.11,  7.00,  18,10,  3.00,  3.00,  0.00,  0.46,  0.54
       Ac57, 639,  0.00,  9.00,  14,10,  0.00,  0.00,  0.00,  0.42,  0.57
      ICT57,  47,  0.04,  6.00,  23,11,  1.00,  1.00,  0.00,  0.29,  0.66
       EC55,  68,  0.04,  6.00,  11,10,  2.00,  2.00,  0.00,  0.56,  0.56
     Niti56,  56,  0.04,  7.00,   9,10,  2.00,  2.00,  0.00,  0.47,  0.57
  ICT57-All,  62,  0.06, 10.00,  26,22,  3.00,  3.00,  0.00,  0.38,  0.60
   HM Act57,  29,  0.02,  2.00,   6,3,  0.00,  0.00,  0.00,  0.55,  0.79
      Biz55, 143,  0.00,  5.00,  16,5,  0.00,  0.00,  0.00,  0.05,  0.19
      Eng55,  21,  0.18,  5.00,  12,10,  3.00,  3.00,  0.00,  0.56,  0.62
  HM Thai57,  24,  0.08,  4.00,   7,10,  1.00,  1.00,  0.00,  0.60,  0.76
 HM Korea57,  67,  0.03,  7.00,   9,10,  2.00,  2.00,  0.00,  0.56,  0.68
 
